"Timestamp","ist Ihnen Umweltschutz wichtig?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Spielt das max. Paketgewicht von 2 KG für Sie eine Rolle?","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Haben Sie Ergänzungen oder andere Vorschläge?","wenn Sie diese Möglichkeit gewählt haben:","Wenn Sie bereit sind zu warten, wie lange würden Sie warten?","Haben Sie Ergänzungen oder andere Vorschläge?","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz nur eines Zustellers ]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von autonomen (fahrerlosen) Robotern]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Drohnen]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Der Einsatz von Packstationen]","Bitte ordnen Sie die Optionen entsprechend Ihrer Präferenz. von 1 als erste Wahl und 5 als letzte Wahl. [Längere Wartezeiten in Kauf nehmen ]","Und warum war es Ihr Favorit?","Was halten Sie von der Möglichkeit, sich anzeigen zu lassen,wieviel CO2 Sie persönlich durch eine Aktion eingespart haben.","Geschlecht","Alter","Berufstätigkeit ","Haushaltsgröße","Wie sind die ersten beiden Ziffern ihrer PLZ:","Wohnsituation","Social Media:                                                                           Ich nutze folgende Dienste:"
"2021/06/03 1:09:33 pm EET","nicht immer","0,10 - 0,50 Euro","Sehr gute Idee des pooolens
Ich verstehe jedoch nicht das es etwas kostet, weil hierduch alle anderen Dienste deutlich Geld sparen könnten.Diese also bereit seien müssten ein Teil Ihres Gebühren abzugeben.","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","Ich halte die Technik noch nicht für so ausgereift das Sie Menschen ersetzten kann","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","nein, weil meine Pakete nie so viel wiegen","für einige Pilotprojekte und zeitkritische Lieferungen sicher gut aber den Masseneinsatz sehe ich kritisch. Das gibt Drohen SMOG  ","ja, wenn das Paket zu schwer ist","Die Entfernung zum nächsten Packstation sollte nicht viel grösser als 2km sein, ansonsten wird die co2 Neutrale Abholung für viele ein Problem  ","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","Man sollte hier unterscheiden zwischen Schnelllieferung für dringende Sachen und die oben angesprochene Poollösung. Damit einen allgemeine Akzeptanz dafür entsteht wäre sicher EinPreisnachlass ein Anreitz ","2","5","4","3","1","Warten können heist planen müssen. Wer langfristig plant und denkt kann viel durch sein Verhalten für den Umweltschutz tuen. Spontanität geht oft auf Kosten der Umwelt   ","ganz nett","männlich","56-65","Teilzeit","3-4","40","städtisch","keine Social Media Nutzung"
"2021/06/03 1:10:15 pm EET","ja","0,10 - 0,50 Euro","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren;um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","Es sollte trotzdem die Option für eilige Pakete geben, dass diese zeitnah zugestellt werden ohne Wartezeit","1","3","5","2","4","Ich finde es angenehm, dass alles gesammelt wird und nur einmal am Tag jemand kommt. ","gut","weiblich","26-35","Vollzeit","1-2","45","städtisch","Facebook;Instagram"
"2021/06/03 1:13:42 pm EET","nicht immer","keine weitere Gebühr","","um die Preise für die Paketauslieferung zu senken","","","ja, aber diese Zustellungsart steckt noch in den Anfängen","","","","","max. einen Tag","","3","3","2","2","2","","brauche ich nicht","männlich","56-65","Vollzeit","1-2","40","städtisch","Facebook;Linkedin"
"2021/06/03 1:13:43 pm EET","ja","1,51 - 2,00 Euro","","","","","","","","","","","","1","3","4","2","5","Ich sehe einen Überhang in den Vorteilen und die Vorteile finde ich überaus gut.","ganz nett","männlich","46-55","Vollzeit","3-4","40","städtisch","keine Social Media Nutzung"
"2021/06/03 1:13:50 pm EET","nicht immer","","","","","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, aber diese Zustellungsart steckt noch in den Anfängen","","","","","","","2","4","1","3","5","Ich finde es ist eine neue Technologie, die im Gegensatz zu den autonomen Robotern weniger Unfälle und Staus verursacht. Zudem sind sie umweltschonend. ","außerordentlich gut","weiblich","17-25","Vollzeit","3-4","44","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 1:15:30 pm EET","ja","0,10 - 0,50 Euro","","um die Preise für die Paketauslieferung zu senken;um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen;ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","","1","2","5","4","3","Durch E-Autos umweltfreundlich, daz alles aus einer Hand da nur ein Zulieferer.","gut","männlich","46-55","Vollzeit","1-2","46","städtisch","Facebook"
"2021/06/03 1:25:57 pm EET","ja","","","","","","","","","","","","","1","5","4","2","3","So wird CO2 eingespart und ich habe wenige Einbußen. ","außerordentlich gut","weiblich","36-45","Vollzeit","1-2","45","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 1:43:12 pm EET","ja","0,51 - 1,00 Euro","","","","","","","","","","","","1","5","5","2","3","Erscheint mir am sinnvollsten ","ganz nett","weiblich","56-65","Teilzeit","1-2","45","städtisch","Facebook;Instagram"
"2021/06/03 1:45:37 pm EET","ja","","","","","","","","ja, wenn das Paket zu schwer ist","Überdachte Packstationen.

","","","","2","4","5","1","3","Nutze schon jetzt die Packstation. Die Lieferdienste müssen weniger fahren,  sparen somit Emissionen und verringern Stau. Ebenfalls muss ich nicht zuhause sein, wenn die Lieferung kommt. Nach Corona und dem voraussichtlichen massiven Rückgang von Homeoffice-Tagen wird das wieder sehr relevant. ","außerordentlich gut","männlich","26-35","Vollzeit","3-4","44","städtisch","keine Social Media Nutzung"
"2021/06/03 1:46:54 pm EET","außerordentlich","0,10 - 0,50 Euro","Oder ich kann die spaltete gesammelt irgendwo anholrn","","","","ja, deshalb müssen auch schwere Pakete befördert werden können.","","nein, ich werde beim Abholen auf den PKW verzichten","Es sind aber zu wenige Packstationen  da oder sie  sind zu klein und somit überfüllt !!","ich erwarte einen Preisnachlass für die verspäteten Lieferungen;ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","Auch jetzt warte noch ich oft auf Pakete obwohl die 2 Tage vorher angekündigt waren","1","5","5","2","3","Da kann ich mich besser drauf einstellen ","brauche ich nicht","weiblich","56-65","Teilzeit","1-2","44","städtisch","Facebook;Instagram"
"2021/06/03 2:00:37 pm EET","außerordentlich","1,01 - 1,50 Euro","Alternativ mit einem zuverlässigen Nachbarn abklären, ob die Abgabe zu einer festen Zeit bei Ihm möglich wäre. ","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","bis zu zwei Tagen","","2","4","3","3","1","Weil es bei diversen Online Versandunternehmen häufig so ist, dass nicht die komplette Bestellung ausgeliefert wird..","ganz nett","männlich","46-55","Vollzeit","1-2","51","ländlich","Facebook;Instagram"
"2021/06/03 2:01:47 pm EET","ja","","","","","","","","ja, wenn das Paket zu schwer ist","","","","","3","","","1","2","Umweltgerecht","gut","weiblich","46-55","Teilzeit","4+","44","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 2:01:51 pm EET","ja","1,51 - 2,00 Euro","","","","","","","","","","","","1","5","5","5","5","","brauche ich nicht","weiblich","36-45","Vollzeit","1-2","46","städtisch","Facebook;Instagram"
"2021/06/03 2:04:42 pm EET","ja","0,10 - 0,50 Euro","","um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um die Preise für die Paketauslieferung zu senken","nein, weil meine Pakete nie so viel wiegen","","ja, wenn ich unter Zeitdruck bin","","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","","2","2","3","1","4","Macht mich zeitlich unabhängig.","ganz nett","weiblich","46-55","Vollzeit","1-2","45","städtisch","Facebook;Twitter;Instagram;Linkedin"
"2021/06/03 2:08:14 pm EET","ja","1,51 - 2,00 Euro","","","","","","","","","","","","1","3","2","","3"," Die  Emmissionen werden erheblich gesenkt  und der finanzielle Aufwand wäre für mich der Preis, den ich am liebsten dafür zahlen würde. Die Nachteile der anderen Alternativen würden von mir als schwerwiegender empfunden. ","außerordentlich gut","weiblich","56-65","","1-2","44","städtisch","keine Social Media Nutzung"
"2021/06/03 2:10:31 pm EET","außerordentlich","0,10 - 0,50 Euro","-","","","","","","ja, bei schlechtem Wetter","-","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","-","2","5","5","2","1","Insgesamt bringt es, glaube ich am meisten für die Umwelt.","brauche ich nicht","weiblich","56-65","Vollzeit","1-2","45","städtisch","keine Social Media Nutzung"
"2021/06/03 2:11:49 pm EET","nicht immer","0,51 - 1,00 Euro","Abhängig von Paketgrösse auch mehr ","um Bildungsangebote für prekär Beschäftigte zu unterstützen","Umverteilung/Weiterbildung damit die Menschen,  die diesen Job ausgeübt haben aufgefangen werden ","um Bildungsangebote für präker Beschäftigte zu unterstützen","ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","Zu gemütlich ","ich erwarte einen Preisnachlass zu Gunsten von Umweltprojekten","bis zu zwei Tagen","Kommt für mich nur in Frage bei Artikeln die ich nicht dringend benötige ","1","3","3","1","2","Arbeitsplätze und oder  menschliche Interaktion ","außerordentlich gut","männlich","26-35","Vollzeit","1-2","48599","ländlich","keine Social Media Nutzung"
"2021/06/03 2:13:27 pm EET","ja","keine weitere Gebühr","","","","","","","","","","","","1","4","5","2","3","","ganz nett","männlich","36-45","Vollzeit","1-2","65","ländlich","Twitter;Linkedin;andere Social Media"
"2021/06/03 2:16:14 pm EET","ja","0,51 - 1,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","ja, aber diese Zustellungsart steckt noch in den Anfängen","","ja, wenn das Paket zu schwer ist","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu zwei Tagen","","3","2","4","1","5","","gut","weiblich","26-35","Vollzeit","1-2","46","städtisch","Twitter;Instagram"
"2021/06/03 2:17:21 pm EET","ja","","","","","","","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist","Kann man aber immer verbinden mit dem Rückweg von der Arbeit oder anderen Erledigungen","","","","3","5","4","1","2","Am Unkompliziertesten, deutliche Reduzierung der Umweltbelastung und, vor allem, ich kann das Paket jederzeit abholen, wann ich gerade Zeit habe. ","brauche ich nicht","männlich","36-45","Vollzeit","1-2","44","städtisch","Facebook"
"2021/06/03 2:17:23 pm EET","ja","0,10 - 0,50 Euro","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","ja, deshalb müssen auch schwere Pakete befördert werden können.","","nein, ich werde beim Abholen auf den PKW verzichten","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu drei Tagen","","2","3","4","3","2","","gut","weiblich","46-55","Vollzeit","1-2","45","städtisch","Instagram"
"2021/06/03 2:22:59 pm EET","ja","1,01 - 1,50 Euro","","","","","","","","","","","","1","4","3","2","5","Viele Elektrofahrzeuge und die Arbeitsplätze der Fahrer gehen nicht verloren","außerordentlich gut","männlich","17-25","Vollzeit","3-4","44","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 2:24:01 pm EET","nicht immer","0,10 - 0,50 Euro","","um die Preise für die Paketauslieferung zu senken;um Bildungsangebote für prekär Beschäftigte zu unterstützen","","um die Preise für die Paketauslieferung zu senken;um Bildungsangebote für präker Beschäftigte zu unterstützen","nein, weil meine Pakete nie so viel wiegen","","ja, wenn das Paket zu schwer ist;nein, ich werde beim Abholen auf den PKW verzichten","","ich erwarte nichts, ich mache es ausschließlich für die Umwelt","bis zu einer Woche","","3","4","5","4","3","Sicherste Auswahl ","ganz nett","weiblich","26-35","Teilzeit","3-4","45","städtisch","Instagram;andere Social Media"
"2021/06/03 2:26:40 pm EET","nicht immer","keine weitere Gebühr","","um die Preise für die Paketauslieferung zu senken","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen","","nein, ich werde beim Abholen auf den PKW verzichten","Einsatz von PKW nur wenn die Packstation auf dem Weg liegt z.B. Arbeitsweg oder am Supermarkt","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","bis zu einer Woche","","3","5","4","1","3","Packstation hat die höchste Flexibilität. Ich kann mehrere Pakete sammeln und jederzeit abholen, auch an Feiertagen oder nachts.","ganz nett","männlich","26-35","Vollzeit","1-2","19","städtisch","Facebook;Instagram"
"2021/06/03 2:27:01 pm EET","außerordentlich","keine weitere Gebühr","es gibt keinen nennenswerten Vorteil, da das Logistikunternehmen dann auch eine größere Anzahl an Fahrzeugen anschaffen muß. Auch Elektrofahrzeuge müssen erst einmalProduziert werden und verursachen hierdurch , bei der Porduktion, die gleichen Emmissionen wie herkömm,lich betriebene Fahrzeuge.

","","Es gibt keine nennenswerten Kosteneinsparungen. Die Lieferungen an Kunden auf diese Art und Weise ist Illusion.","","ja, deshalb müssen auch schwere Pakete befördert werden können.","Allein die Unfallgefahr, gerade in Städten, ist bei fliegenden Drohnen, die auch in Menschnähe kommen, einfach zu groß.","","Hier sind Kosten-u. Umweltprobleme zu berücksichtigen, die ichnicht alle schildern kann,
mangels Zeit.","","","Keine Vorschläge, da keine Zeit zu warten.","5","5","5","5","5","Für mich gibt es keinen Favoriten.","brauche ich nicht","männlich","66+","","","58","ländlich","andere Social Media"
"2021/06/03 2:28:55 pm EET","ja","1,01 - 1,50 Euro","","","","","","","","","","","","1","5","4","2","3","Es liefert den größten Effekt, ist einfach umzusetzen, ich gewinne zusätzlichen Komfort (1 Lieferung) und die Kosten sind gering","gut","weiblich","46-55","Teilzeit","3-4","45","städtisch","keine Social Media Nutzung"
"2021/06/03 2:31:32 pm EET","nicht immer","0,51 - 1,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um die Preise für die Paketauslieferung zu senken","ja, aber diese Zustellungsart steckt noch in den Anfängen;ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, bei schlechtem Wetter;ja, wenn das Paket zu schwer ist","","ich erwarte einen Preisnachlass für die verspäteten Lieferungen","max. einen Tag","","5","4","3","1","3","","außerordentlich gut","männlich","17-25","Vollzeit","1-2","45","städtisch","Facebook;Instagram;andere Social Media"
"2021/06/03 2:31:50 pm EET","außerordentlich","0,10 - 0,50 Euro","Momentan kommen Pakete zwischen 8 und 22 Uhr… die Hoffnung stirbt zuletzt :-) wie sollte es dann sein?","","Macht mir Angst ","","ja, deshalb müssen auch schwere Pakete befördert werden können.","Wir bekommen auch große und schwere Pakete ","","","","max. einen Tag","Etwas verwöhnt durch Prime ","1","2","3","2","3","Scheint logisch ","ganz nett","weiblich","46-55","Teilzeit","1-2","33","ländlich","Facebook;Twitter;Instagram;andere Social Media"
"2021/06/03 2:32:04 pm EET","nicht immer","0,51 - 1,00 Euro","","um Umweltprojekte im Inn- und Ausland mitzufinanzieren","","um die Preise für die Paketauslieferung zu senken","ja, deshalb müssen auch schwere Pakete befördert werden können.","","ja, wenn das Paket zu schwer ist;ja, wenn ich unter Zeitdruck bin","","","bis zu zwei Tagen","","5","5","2","3","2","","außerordentlich gut","weiblich","26-35","Vollzeit","1-2","46459","ländlich","Facebook;Instagram;andere Social Media"
