Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-102,"Keine Wartezeit, muss das Paket nirgends abholen ",weiblich,36-45,ländlich,Vollzeit,1-2,47,Facebook;Twitter;Instagram
Participant-104,"Bessere Energiebilanz durch weniger Zusteller 
Das Chaos von unfähigen Zustellern würde aufhören ",weiblich,46-55,städtisch,Vollzeit,3-4,44,Facebook;Instagram;andere Social Media
Participant-108,"Überwiegend Vorteile, menschliche Arbeitskraft wird nicht ersetzt ",weiblich,36-45,städtisch,Vollzeit,1-2,50,Facebook
Participant-118,,weiblich,36-45,städtisch,Teilzeit,1-2,45,Facebook;Instagram;andere Social Media
Participant-119,,männlich,36-45,städtisch,Vollzeit,4+,44,Facebook;Instagram
Participant-120,Es ist umweltfreundlicher als es momentan üblich ist und immer noch recht komfortabel und sicher.,weiblich,36-45,städtisch,Teilzeit,1-2,33,keine Social Media Nutzung
Participant-121,Co2 einsparen.pakete erst mal sammeln,weiblich,36-45,städtisch,Vollzeit,3-4,45,Facebook;Instagram;andere Social Media
Participant-123,Am effektivste da ich beruflich nicht lange auf Pakete warten kann ,weiblich,36-45,städtisch,Teilzeit,3-4,45,Facebook;Instagram;andere Social Media
Participant-125,Weil man sicher dann kennt,weiblich,46-55,städtisch,Teilzeit,1-2,44,Facebook;Instagram
Participant-131,,weiblich,36-45,städtisch,Vollzeit,3-4,99,andere Social Media
Participant-133,,weiblich,17-25,städtisch,Vollzeit,3-4,45326 ,Instagram
Participant-134,,männlich,36-45,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-135,,weiblich,36-45,städtisch,Teilzeit,3-4,44,keine Social Media Nutzung
Participant-136,Straßen werden entlastet,männlich,26-35,städtisch,Vollzeit,3-4,45,Facebook;Instagram
Participant-137,"Der Kompromiss, dass Menschen Ihr Paket abholen müssen bzw. länger warten müssen ist der logisch einfachste Weg, CO2 einzusparen. Der Weg eines Zustellers klappt aufgrund von Lieferketten und Abwicklungen der Logistikhallen nicht. ",männlich,17-25,ländlich,Vollzeit,3-4,40764,Facebook;Instagram;Linkedin
Participant-138,"Der Mensch sollte sich wieder daran gewöhnen, dass man nicht alles sofort haben kann.",weiblich,26-35,städtisch,Teilzeit,3-4,47,Facebook;Instagram;Linkedin
Participant-140,Der Umwelt zuliebe,weiblich,46-55,städtisch,Teilzeit,1-2,46,andere Social Media
Participant-142,"Paketzustellung eigentlich wie gewohnt, jedoch gebündelt.",weiblich,17-25,städtisch,Teilzeit,3-4,44,keine Social Media Nutzung
Participant-153,Erhaltung des Arbeitsplatzes plus Emmissionsreduzierung.,männlich,56-65,städtisch,Vollzeit,1-2,44809,keine Social Media Nutzung
Participant-154,für mich mit wenig Aufwand...etwas beizutragen. ,weiblich,46-55,städtisch,Vollzeit,1-2,45,Instagram
Participant-156,,männlich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Instagram
Participant-163,Ist die einfachste Variante ,weiblich,46-55,städtisch,Vollzeit,1-2,45145,Instagram;andere Social Media
Participant-164,Persönlicher Kontakt,männlich,56-65,städtisch,Vollzeit,1-2,40,Facebook;Linkedin
Participant-165,Sehr praktisch insbesondere für Berufstätige ,weiblich,56-65,städtisch,Vollzeit,3-4,45,keine Social Media Nutzung
Participant-166,,männlich,46-55,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-169,,weiblich,26-35,städtisch,Vollzeit,1-2,40,Facebook;Twitter;Instagram;Linkedin
Participant-171,,weiblich,66+,städtisch,Teilzeit,1-2,44,andere Social Media
Participant-173,Schnell und mit bestehender Infrastruktur umsetzbar.,männlich,36-45,städtisch,Vollzeit,1-2,89,keine Social Media Nutzung
Participant-177,,weiblich,36-45,städtisch,Teilzeit,1-2,47,Facebook;Instagram
Participant-178,Zufrieden,weiblich,46-55,städtisch,Vollzeit,1-2,40470,Facebook;Instagram
Participant-179,"Ökologisch, machbar und praktikabel",männlich,56-65,ländlich,Vollzeit,1-2,42,Facebook;Linkedin
Participant-182,"Packstationen sind zur Zeit am unkompliziertesten, kostengünstigsten, ausgereiftesten. ",weiblich,66+,städtisch,Teilzeit,1-2,44,andere Social Media
Participant-184,Ich halte diese Möglichkeit für einfach umzusetzen und effektiv,männlich,36-45,ländlich,Vollzeit,3-4,86,Facebook;Instagram
Participant-185,Das hält Menschen in Arbeit und wer Arbeit hat ist in unserer Gesellschaft anerkannter.,männlich,46-55,städtisch,Vollzeit,1-2,40,keine Social Media Nutzung
Participant-188,,männlich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Twitter;Instagram;andere Social Media
Participant-192,,männlich,46-55,ländlich,Teilzeit,1-2,61,Facebook
Participant-194,,weiblich,66+,städtisch,,1-2,09,Facebook
Participant-198,Zustellungen Bündeln für weniger CO2,weiblich,56-65,ländlich,,1-2,45,andere Social Media
Participant-200,,männlich,46-55,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-208,Sinnvolle Lösung ohne zusätzliche Wartezeit. Ausserdem kein Verlust von Arbeitsplätzen .,weiblich,46-55,ländlich,Vollzeit,1-2,45,Facebook;Instagram;Linkedin
Participant-210,,weiblich,66+,städtisch,,1-2,44,keine Social Media Nutzung
Participant-211,,männlich,36-45,städtisch,Vollzeit,3-4,45145,Facebook
Participant-213,Weil es immer noch die klassische und schnellste zustell Variante ist. ,,36-45,ländlich,Vollzeit,1-2,58,Facebook
Participant-217,Scheint am praktikabelsten zu sein. Und am effektivsten. ,männlich,56-65,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-221,Für mich am einfachsten ,weiblich,56-65,städtisch,Vollzeit,1-2,44,andere Social Media
Participant-224,Scheint am einfachsten umsetzbar zu sein und hat einen direkten positiven Einfluss auf die Umwelt ,weiblich,36-45,städtisch,Vollzeit,1-2,47,Instagram
Participant-233,,männlich,36-45,ländlich,Vollzeit,1-2,46,Facebook;Twitter;Instagram
Participant-237,Vermutlich die schnellste Variante ,männlich,56-65,städtisch,Vollzeit,1-2,44,Facebook;Instagram;andere Social Media
Participant-238,,weiblich,17-25,städtisch,Teilzeit,3-4,45,Facebook;Instagram
Participant-239,,weiblich,26-35,städtisch,Vollzeit,3-4,45,Facebook;Instagram
Participant-244,,männlich,36-45,ländlich,Vollzeit,4+,27,Facebook;andere Social Media
Participant-245,,weiblich,56-65,städtisch,Vollzeit,1-2,45,Facebook
Participant-249,Damit kann man planen,weiblich,46-55,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-255,Arbeitsplatz bleibt erhalten,weiblich,56-65,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-258,,männlich,56-65,städtisch,Vollzeit,1-2,46,keine Social Media Nutzung
Participant-259,"Die Tatsache, nur zu einer bestimmten Zeit Zuhause sein zu müssen, um die Pakete auf einmal anzunehmen.",weiblich,46-55,städtisch,Vollzeit,3-4,45,keine Social Media Nutzung
Participant-263,,männlich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Twitter;Instagram
Participant-271,"Einfache, unkomplizierte lösung",weiblich,46-55,städtisch,Teilzeit,1-2,40,Facebook;Instagram
Participant-275,,männlich,36-45,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-276,Meiner Meinung nach am effizientesten und sinnvollsten momentan.,weiblich,46-55,städtisch,Teilzeit,1-2,47,Facebook;Instagram;andere Social Media
Participant-279,Ich brauche selten etwas dringend ,männlich,46-55,städtisch,Vollzeit,1-2,21,keine Social Media Nutzung
Participant-282,erscheint mir praktisch,weiblich,66+,städtisch,,1-2,44,keine Social Media Nutzung
Participant-284,Vernünftig,männlich,66+,städtisch,,1-2,44,Facebook
Participant-286,Gibt mir am meisten Vertrauen,männlich,46-55,städtisch,Vollzeit,1-2,40,Facebook;Instagram
Participant-287,"wen man über mehrere zusteller packete erwartet, ist es gut wen EINMAL jemand kommt und nicht gleich 2-4 mal wen man bei DHL und Hermes und und und was erwartet",männlich,36-45,städtisch,Vollzeit,3-4,40,Facebook;Instagram;Linkedin
Participant-288,"Damit die Arbeitsplätze erhalten bleiben, Synergien geschaffen werden und der persönliche Kontakt erhalten bleibt. ",weiblich,46-55,städtisch,Vollzeit,1-2,40625,andere Social Media
Participant-289,"Weil es die größte Einsparung bietet! Wenn man sieht wie viele Lieferdienste pro Tag kommen, unglaublich!",weiblich,56-65,städtisch,Teilzeit,1-2,44,keine Social Media Nutzung
Participant-294,"Es werden gleich mehrere Probleme gelöst, ohne dass der Arbeitsplatz durch KI ersetzt wird.",weiblich,26-35,städtisch,Vollzeit,1-2,40,Facebook;Instagram;Linkedin;andere Social Media
Participant-296,Ich brauche keine schnellen Lieferungen. Anlässe für Bestellungen tauchen i.d.R. nicht plötzlich auf. ,weiblich,36-45,städtisch,Teilzeit,1-2,47,Facebook
Participant-298,Ich bestelle nicht häufig und würde dann auch etwas längere Wartezeit in Kauf nehmen. Meistens gehe ich eher in der Stadt einkaufen und erledige alles auf einmal. ,weiblich,36-45,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-301,"Einfache, unkomplizierte lösung",weiblich,46-55,städtisch,Teilzeit,1-2,40,Facebook;Instagram
Participant-303,"Ich halte es für ökologisch am sinnvollsten, es erhält Arbeitsplätze und ich glaube, dass trotzdem eine gute, sichere und pünktliche Zustellung möglich bleiben kann.",männlich,56-65,städtisch,Vollzeit,1-2,44,Facebook;Linkedin;andere Social Media
Participant-304,"Ich halte es für die Beste Lösung, weil der Kunde nicht aud das Paket warten muß und die vielen Paketdientste nur auf einen beschränkt wird. Die Pakstation gibt es bereits, ist für alte Leute schwer mit der Technick und dem Transport, gerade im ländlichen Bereich ist nichts gewonnen, wenn die Menschen mit dem Auto hinfahren müssen. Drohnen und Fahrerlose robotern halte ich für zu gefährlich.",weiblich,46-55,städtisch,Vollzeit,1-2,,keine Social Media Nutzung
Participant-312,Zum Schutz der Umwelt ,weiblich,26-35,ländlich,Vollzeit,4+,25,Facebook;Instagram
Participant-315,"Weil ich der Meinung bin, dass man so am meisten einsparen kann ",weiblich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Instagram
Participant-317,,weiblich,36-45,städtisch,Teilzeit,3-4,48,Facebook;andere Social Media
Participant-318,Weil in der Logistik noch viel Potential steckt ,männlich,36-45,städtisch,Vollzeit,3-4,45659,Instagram
Participant-319,,männlich,56-65,ländlich,Vollzeit,1-2,53,andere Social Media
Participant-342,,männlich,36-45,städtisch,Vollzeit,3-4,44,andere Social Media
Participant-345,,männlich,36-45,städtisch,Vollzeit,1-2,41,Facebook;Instagram;andere Social Media
Participant-346,,männlich,66+,ländlich,Vollzeit,1-2,59,
Participant-347,Die Zustellung nach Hause ist für immobile Personen die beste Lösung.,weiblich,66+,städtisch,,1-2,52,keine Social Media Nutzung
Participant-349,"Umweltfreundlich, Arbeitsplätze bleiben erhalten,",weiblich,46-55,städtisch,Vollzeit,1-2,45,andere Social Media
Participant-351,Weil es mir am sinnvollsten erscheint.,männlich,56-65,ländlich,Teilzeit,1-2,49,keine Social Media Nutzung
Participant-353,,männlich,56-65,städtisch,Vollzeit,1-2,46,keine Social Media Nutzung
Participant-354,"Hab keinen Zeitdruck, und kann damit sparen",männlich,46-55,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-357,Stau. Umweltbelastung. Flexibilität. ,männlich,46-55,städtisch,Vollzeit,3-4,47,Linkedin
