Participants,Und warum war es Ihr Favorit?,Geschlecht,Alter,Wohnsituation,Berufstätigkeit ,Haushaltsgröße,PLZ,Social Media
Participant-64,Ich möchte es weiterhin mit Menschen zu tun haben . Feste Lieferanten wären toll. Sie wissen wohin mit den Paketen; man kann eine Beziehung aufbauen ,weiblich,46-55,städtisch,Vollzeit,3-4,44627,Instagram
Participant-66,Weil es für mich persönlich die beste Lösung ist und weil die Vorteile gegenüber den anderen Vorschlägen am nachhaltigsten für die Umwelt wären,weiblich,56-65,ländlich,Teilzeit,1-2,45,keine Social Media Nutzung
Participant-68,Bewährtes System aus der Gastronomie wie z.B. Wolt oder Lieferando,männlich,46-55,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-70,Finde ich am sinnvollsten h und zugleich am praktischsten. ,weiblich,56-65,städtisch,Teilzeit,3-4,45,Facebook;Instagram
Participant-72,,weiblich,17-25,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-74,Erscheint mir als einfach umzusetzen und für mich sehr komfortabel.,weiblich,46-55,ländlich,Teilzeit,3-4,44,keine Social Media Nutzung
Participant-76,"Praktisch, weil es  zeitlich besser zu organisieren ist. Zudem ist es eben auch besser für die Umwelt, weil nicht viele verschiedene Paketboten mehrmals pro Tag fahren. ",weiblich,36-45,städtisch,Teilzeit,3-4,44,Facebook;Instagram;Linkedin
Participant-77,Erscheint mir am einfachsten umzusetzen und ist für mich am komfortabelsten,weiblich,46-55,ländlich,Teilzeit,3-4,44,keine Social Media Nutzung
Participant-79,"Persönlicher Kontakt, eventuell Mitgabe von Rücksendungen ",weiblich,36-45,städtisch,Teilzeit,3-4,45,Instagram
Participant-80,Ist am bequemsten ,weiblich,46-55,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-81,,männlich,56-65,städtisch,,1-2,46,Facebook;Instagram
Participant-82,,männlich,66+,städtisch,,1-2,45,keine Social Media Nutzung
Participant-83,Ist die einfachste Variante ,weiblich,46-55,städtisch,Vollzeit,1-2,45145,Instagram;andere Social Media
Participant-84,"Weil die Emmissioneneinsparung vorteilhaft ist,  keine im Fussgänger gefährdet werden und keine Gewichtseinschränkung besteht.",weiblich,56-65,ländlich,Vollzeit,3-4,32,keine Social Media Nutzung
Participant-85,,männlich,56-65,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-86,"Für Menschen am besten, wenn keine Roboter ihre Arbeit übernehmen, ausser es gibt das bedingungslose Grundeinkommen. Mit dem Anderen, dass kann ich mir gut vorstellen, es muss nicht immer alles sofort verfügbar sein.",weiblich,36-45,städtisch,Teilzeit,1-2,45,keine Social Media Nutzung
Participant-88,Ich kann die Abholung selber steuern.,männlich,36-45,städtisch,Vollzeit,1-2,44,andere Social Media
Participant-89,,männlich,46-55,städtisch,Vollzeit,3-4,58,Twitter;Linkedin;andere Social Media
Participant-92,,weiblich,36-45,städtisch,Teilzeit,3-4,47,Facebook
Participant-93,"Weniger CO2-Verbrauch,höhere Anwesenheitswahrscheinlichkeit bei Lieferung",männlich,56-65,städtisch,Vollzeit,1-2,45,andere Social Media
Participant-94,Kann man am schnellsten erreichen und hat den größten Vorteil,männlich,36-45,ländlich,Teilzeit,1-2,09,keine Social Media Nutzung
Participant-95,"Spart Energie, weil nur 1 Fahrzeug kommt. Arbeitsplätze bleiben erhalten. ",weiblich,56-65,städtisch,,1-2,45,keine Social Media Nutzung
Participant-100,Spart am meisten für die Umwelt. ,männlich,56-65,städtisch,Vollzeit,3-4,45470,Facebook;Twitter
Participant-101,"Ich wohne in der ersten Etage, ohne Balkon. Drohnen und Roboter würden mich nicht erreichen. ",männlich,36-45,städtisch,Vollzeit,3-4,44649,keine Social Media Nutzung
Participant-102,"Keine Wartezeit, muss das Paket nirgends abholen ",weiblich,36-45,ländlich,Vollzeit,1-2,47,Facebook;Twitter;Instagram
Participant-104,"Bessere Energiebilanz durch weniger Zusteller 
Das Chaos von unfähigen Zustellern würde aufhören ",weiblich,46-55,städtisch,Vollzeit,3-4,44,Facebook;Instagram;andere Social Media
Participant-105,"Ich möchte meine Pakete möglichst schnell bekommen und wenn alles zusammen geliefert wird, ist das für meine Tagesplanung optimal. ( ich muss nicht den ganzen Tag zu Hause sein und auf die verschiedenen Lieferdienste warten)",weiblich,36-45,ländlich,Vollzeit,1-2,58,Facebook
Participant-106,,weiblich,46-55,städtisch,Teilzeit,1-2,45,Facebook;Instagram
Participant-108,"Überwiegend Vorteile, menschliche Arbeitskraft wird nicht ersetzt ",weiblich,36-45,städtisch,Vollzeit,1-2,50,Facebook
Participant-110,,weiblich,46-55,städtisch,Teilzeit,1-2,44,Twitter
Participant-111,Ich finde persönlich besser ,,36-45,städtisch,Vollzeit,3-4,45128 ,Facebook;Instagram
Participant-118,,weiblich,36-45,städtisch,Teilzeit,1-2,45,Facebook;Instagram;andere Social Media
Participant-119,,männlich,36-45,städtisch,Vollzeit,4+,44,Facebook;Instagram
Participant-123,Am effektivste da ich beruflich nicht lange auf Pakete warten kann ,weiblich,36-45,städtisch,Teilzeit,3-4,45,Facebook;Instagram;andere Social Media
Participant-124,,männlich,56-65,städtisch,Vollzeit,1-2,44,andere Social Media
Participant-125,Weil man sicher dann kennt,weiblich,46-55,städtisch,Teilzeit,1-2,44,Facebook;Instagram
Participant-127,,männlich,36-45,städtisch,Vollzeit,3-4,42,keine Social Media Nutzung
Participant-130,Am praktikabelsten und für mich als Kunden am komfortabelsten ,männlich,46-55,städtisch,Vollzeit,3-4,44,Facebook;Instagram
Participant-131,,weiblich,36-45,städtisch,Vollzeit,3-4,99,andere Social Media
Participant-132,"Wenn der Zusteller gut ist, dann möchte ich eine Person haben.",männlich,56-65,städtisch,Vollzeit,1-2,D-20,Facebook;andere Social Media
Participant-135,,weiblich,36-45,städtisch,Teilzeit,3-4,44,keine Social Media Nutzung
Participant-139,,männlich,36-45,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-140,Der Umwelt zuliebe,weiblich,46-55,städtisch,Teilzeit,1-2,46,andere Social Media
Participant-141,Man kann sich auch besser drauf einstellen wann der Fahrer kommt und es so besser einrichten das man evtl selbst vor Ort sein kann ,weiblich,36-45,städtisch,Teilzeit,3-4,58,Instagram
Participant-142,"Paketzustellung eigentlich wie gewohnt, jedoch gebündelt.",weiblich,17-25,städtisch,Teilzeit,3-4,44,keine Social Media Nutzung
Participant-144,Weil es die meisten Vorteile für mich hat,weiblich,26-35,städtisch,Vollzeit,3-4,45889,
Participant-146,Weniger warten auf Pakete ,weiblich,26-35,ländlich,Teilzeit,3-4,48,Facebook;Instagram
Participant-148,,weiblich,46-55,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-152,Halte es für eine effektive Lösung auch in Bezug mit Arbeitsplätzen die nicht wegrationalisiert werden. ,weiblich,46-55,städtisch,Vollzeit,1-2,59,Instagram;andere Social Media
Participant-153,Erhaltung des Arbeitsplatzes plus Emmissionsreduzierung.,männlich,56-65,städtisch,Vollzeit,1-2,44809,keine Social Media Nutzung
Participant-159,"Weil es ohnehin sinnvoll finde, wenn es nur einen Zusteller bräuchte. Dass ich dafür eine weitere Firma brauche, ist mir allerdings schleierhaft.  Einfach alles auf ein Unternehmen reduzieren ",männlich,26-35,ländlich,Vollzeit,3-4,74,Twitter
Participant-163,Ist die einfachste Variante ,weiblich,46-55,städtisch,Vollzeit,1-2,45145,Instagram;andere Social Media
Participant-164,Persönlicher Kontakt,männlich,56-65,städtisch,Vollzeit,1-2,40,Facebook;Linkedin
Participant-165,Sehr praktisch insbesondere für Berufstätige ,weiblich,56-65,städtisch,Vollzeit,3-4,45,keine Social Media Nutzung
Participant-166,,männlich,46-55,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-167,,männlich,66+,städtisch,Vollzeit,1-2,59,Facebook;Instagram
Participant-168,Möglichst wenig Umstellung,weiblich,36-45,städtisch,Teilzeit,3-4,45,Facebook
Participant-169,,weiblich,26-35,städtisch,Vollzeit,1-2,40,Facebook;Twitter;Instagram;Linkedin
Participant-172,,weiblich,56-65,städtisch,Vollzeit,3-4,45,Twitter;andere Social Media
Participant-177,,weiblich,36-45,städtisch,Teilzeit,1-2,47,Facebook;Instagram
Participant-178,Zufrieden,weiblich,46-55,städtisch,Vollzeit,1-2,40470,Facebook;Instagram
Participant-179,"Ökologisch, machbar und praktikabel",männlich,56-65,ländlich,Vollzeit,1-2,42,Facebook;Linkedin
Participant-184,Ich halte diese Möglichkeit für einfach umzusetzen und effektiv,männlich,36-45,ländlich,Vollzeit,3-4,86,Facebook;Instagram
Participant-185,Das hält Menschen in Arbeit und wer Arbeit hat ist in unserer Gesellschaft anerkannter.,männlich,46-55,städtisch,Vollzeit,1-2,40,keine Social Media Nutzung
Participant-188,,männlich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Twitter;Instagram;andere Social Media
Participant-191,"Dann behält wenigstens 1 Mensch seinen Arbeitsplatz. Sehe das Emissionproblem anders- weniger kaufen, mehr alte Sachen schätzen, weniger Online und die Geschäfte und somit die Städte am Leben halten. Weniger Konsum, weniger Emissionen. Sachen reparieren bzw. So herstellen, dass man sie reparieren kann. Ich will keine Drohnen, Roboter.",weiblich,46-55,städtisch,Vollzeit,1-2,45,Instagram;Linkedin;andere Social Media
Participant-192,,männlich,46-55,ländlich,Teilzeit,1-2,61,Facebook
Participant-196,Annahme planbar ,männlich,36-45,städtisch,Vollzeit,3-4,44,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-197,Wegen der Reduzierung des Fahraufkommens,männlich,56-65,städtisch,Vollzeit,1-2,56,keine Social Media Nutzung
Participant-198,Zustellungen Bündeln für weniger CO2,weiblich,56-65,ländlich,,1-2,45,andere Social Media
Participant-199,,männlich,56-65,städtisch,Vollzeit,3-4,44,Facebook;Instagram
Participant-200,,männlich,46-55,städtisch,Vollzeit,1-2,45,Facebook;Instagram
Participant-201,Nur eine Störung am Tag. ,weiblich,46-55,städtisch,Teilzeit,3-4,45,keine Social Media Nutzung
Participant-202,,weiblich,36-45,städtisch,Teilzeit,3-4,44,Facebook;Instagram
Participant-203,"Ich mag es nicht, wenn Menschen durch Maschinen ersetzt werden",weiblich,36-45,städtisch,Teilzeit,3-4,45,keine Social Media Nutzung
Participant-205,Kompakte Lieferung,männlich,56-65,städtisch,Vollzeit,1-2,44,Linkedin;andere Social Media
Participant-208,Sinnvolle Lösung ohne zusätzliche Wartezeit. Ausserdem kein Verlust von Arbeitsplätzen .,weiblich,46-55,ländlich,Vollzeit,1-2,45,Facebook;Instagram;Linkedin
Participant-212,,männlich,46-55,städtisch,Vollzeit,1-2,40,Instagram
Participant-213,Weil es immer noch die klassische und schnellste zustell Variante ist. ,,36-45,ländlich,Vollzeit,1-2,58,Facebook
Participant-214,Weil es die Umwelt schont und man nicht mehrmals täglich Pakete annehmen muss. ,weiblich,36-45,städtisch,Teilzeit,3-4,45,andere Social Media
Participant-217,Scheint am praktikabelsten zu sein. Und am effektivsten. ,männlich,56-65,städtisch,Vollzeit,1-2,44,keine Social Media Nutzung
Participant-218,"Das finde ich am praktischsten, es trifft allerdings nur Sekten zu an einem Tag von mehreren Dienstleistern beliefert zu werden",weiblich,26-35,städtisch,Vollzeit,1-2,04229,Facebook;Instagram
Participant-227,Ein Auslieferer mit Elektrofahrzeugen bietet in etwa den gleichen Service wie bisher,männlich,66+,städtisch,,1-2,40,keine Social Media Nutzung
Participant-228,,männlich,56-65,städtisch,Vollzeit,1-2,45,Facebook;Twitter;Instagram;Linkedin
Participant-230,Ist am einfachsten umzusetzen und spart damit am schnellsten CO2,weiblich,56-65,städtisch,Vollzeit,1-2,44,Facebook;Instagram
Participant-233,,männlich,36-45,ländlich,Vollzeit,1-2,46,Facebook;Twitter;Instagram
Participant-235,"Der Lieferer liefert einmal am Tag alles aus, so weiß ich wann er kommt und kann meine Pakete annehmen. Da ich meistens arbeite wenn Pakete kommen, wäre das super für mich.",weiblich,26-35,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-237,Vermutlich die schnellste Variante ,männlich,56-65,städtisch,Vollzeit,1-2,44,Facebook;Instagram;andere Social Media
Participant-238,,weiblich,17-25,städtisch,Teilzeit,3-4,45,Facebook;Instagram
Participant-239,,weiblich,26-35,städtisch,Vollzeit,3-4,45,Facebook;Instagram
Participant-240,"bei aller Liebe, ist immer noch am persönlichsten",männlich,56-65,städtisch,Vollzeit,1-2,44,Instagram
Participant-244,,männlich,36-45,ländlich,Vollzeit,4+,27,Facebook;andere Social Media
Participant-246,,männlich,56-65,städtisch,Vollzeit,3-4,44577,Linkedin
Participant-247,,männlich,56-65,städtisch,Vollzeit,3-4,44577,Linkedin
Participant-252,Ist am bequemsten ,männlich,46-55,städtisch,Teilzeit,3-4,44,keine Social Media Nutzung
Participant-255,Arbeitsplatz bleibt erhalten,weiblich,56-65,städtisch,Vollzeit,1-2,45,keine Social Media Nutzung
Participant-256,Ich möchte nicht das Arbeitsplätze in Gefahr kommen.,weiblich,36-45,städtisch,Teilzeit,3-4,63808,Facebook
Participant-259,"Die Tatsache, nur zu einer bestimmten Zeit Zuhause sein zu müssen, um die Pakete auf einmal anzunehmen.",weiblich,46-55,städtisch,Vollzeit,3-4,45,keine Social Media Nutzung
Participant-260,"Gut, wenn man nicht mehrere Unternehmen hat auf die man warten muss. Es weren noch Jobs erhalten",weiblich,26-35,ländlich,Teilzeit,1-2,47,Facebook;Twitter;Instagram
Participant-263,,männlich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Twitter;Instagram
Participant-266,ist zur Zeit am schnellsten zu realisieren ,männlich,56-65,städtisch,,1-2,45,Facebook;Twitter
Participant-269,schont m.E. am meisten die Umwelt und den Verkehr,männlich,66+,städtisch,,1-2,45,keine Social Media Nutzung
Participant-270,,weiblich,56-65,städtisch,Teilzeit,1-2,44,Facebook;Instagram
Participant-271,"Einfache, unkomplizierte lösung",weiblich,46-55,städtisch,Teilzeit,1-2,40,Facebook;Instagram
Participant-273,"WEIl eine scheinbar starke Verkehrs- und Umweltentlastung möglich ist und Pakete dennoch und vor allem nur EIN mal an die Haustür kommen
",männlich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Twitter;Instagram;Linkedin;andere Social Media
Participant-274,Am realistischen,männlich,46-55,städtisch,Vollzeit,3-4,46,keine Social Media Nutzung
Participant-275,,männlich,36-45,städtisch,Vollzeit,3-4,44,keine Social Media Nutzung
Participant-276,Meiner Meinung nach am effizientesten und sinnvollsten momentan.,weiblich,46-55,städtisch,Teilzeit,1-2,47,Facebook;Instagram;andere Social Media
Participant-278,,weiblich,56-65,städtisch,Teilzeit,1-2,45,Facebook
Participant-280,,männlich,66+,städtisch,Teilzeit,1-2,40,keine Social Media Nutzung
Participant-282,erscheint mir praktisch,weiblich,66+,städtisch,,1-2,44,keine Social Media Nutzung
Participant-283,spricht mich mehr an,weiblich,66+,städtisch,Teilzeit,1-2,44,Facebook
Participant-284,Vernünftig,männlich,66+,städtisch,,1-2,44,Facebook
Participant-286,Gibt mir am meisten Vertrauen,männlich,46-55,städtisch,Vollzeit,1-2,40,Facebook;Instagram
Participant-287,"wen man über mehrere zusteller packete erwartet, ist es gut wen EINMAL jemand kommt und nicht gleich 2-4 mal wen man bei DHL und Hermes und und und was erwartet",männlich,36-45,städtisch,Vollzeit,3-4,40,Facebook;Instagram;Linkedin
Participant-288,"Damit die Arbeitsplätze erhalten bleiben, Synergien geschaffen werden und der persönliche Kontakt erhalten bleibt. ",weiblich,46-55,städtisch,Vollzeit,1-2,40625,andere Social Media
Participant-289,"Weil es die größte Einsparung bietet! Wenn man sieht wie viele Lieferdienste pro Tag kommen, unglaublich!",weiblich,56-65,städtisch,Teilzeit,1-2,44,keine Social Media Nutzung
Participant-290,,männlich,46-55,ländlich,Vollzeit,3-4,64,Linkedin
Participant-291,viele Vorteile,weiblich,17-25,ländlich,,3-4,41,Facebook;Instagram
Participant-294,"Es werden gleich mehrere Probleme gelöst, ohne dass der Arbeitsplatz durch KI ersetzt wird.",weiblich,26-35,städtisch,Vollzeit,1-2,40,Facebook;Instagram;Linkedin;andere Social Media
Participant-301,"Einfache, unkomplizierte lösung",weiblich,46-55,städtisch,Teilzeit,1-2,40,Facebook;Instagram
Participant-302,Weil es praktisch und durchführbar ist.,weiblich,46-55,städtisch,Teilzeit,3-4,45,keine Social Media Nutzung
Participant-303,"Ich halte es für ökologisch am sinnvollsten, es erhält Arbeitsplätze und ich glaube, dass trotzdem eine gute, sichere und pünktliche Zustellung möglich bleiben kann.",männlich,56-65,städtisch,Vollzeit,1-2,44,Facebook;Linkedin;andere Social Media
Participant-304,"Ich halte es für die Beste Lösung, weil der Kunde nicht aud das Paket warten muß und die vielen Paketdientste nur auf einen beschränkt wird. Die Pakstation gibt es bereits, ist für alte Leute schwer mit der Technick und dem Transport, gerade im ländlichen Bereich ist nichts gewonnen, wenn die Menschen mit dem Auto hinfahren müssen. Drohnen und Fahrerlose robotern halte ich für zu gefährlich.",weiblich,46-55,städtisch,Vollzeit,1-2,,keine Social Media Nutzung
Participant-307,"Menschen brauchen Arbeit, daher keine Roboter oder Drohnen. Paketstationen gibt es schon immer.  Wartezeiten sollten normal sein. Aber die Leute bestellen was und bestehen darauf, dass sie es am nächsten Tag erhalten. Wozu diese Hast? Selbstgerechte egoistische Leute....",weiblich,46-55,städtisch,Vollzeit,1-2,44789,Facebook;andere Social Media
Participant-308,Halte ich für die ökologisch nachhaltigste Lösung ,männlich,46-55,städtisch,Vollzeit,1-2,45,Facebook;andere Social Media
Participant-311,,männlich,36-45,städtisch,Vollzeit,3-4,40,Facebook;Instagram;Linkedin
Participant-312,Zum Schutz der Umwelt ,weiblich,26-35,ländlich,Vollzeit,4+,25,Facebook;Instagram
Participant-313,selbstverständlich wegen dem klima,weiblich,26-35,ländlich,Vollzeit,4+,25,Facebook;Instagram;andere Social Media
Participant-314,Ich muss nicht ständig zur Tür laufen und versuchen Termine zu koordinieren.,weiblich,46-55,städtisch,Vollzeit,1-2,45,Twitter;Instagram;Linkedin
Participant-315,"Weil ich der Meinung bin, dass man so am meisten einsparen kann ",weiblich,26-35,städtisch,Vollzeit,1-2,44,Facebook;Instagram
Participant-317,,weiblich,36-45,städtisch,Teilzeit,3-4,48,Facebook;andere Social Media
Participant-318,Weil in der Logistik noch viel Potential steckt ,männlich,36-45,städtisch,Vollzeit,3-4,45659,Instagram
Participant-320,"Faulheit soll nicht belohnt werden, Strahlenemission (Umweltverschmutzung) verhindern (Steuerung von Robotern und Drohnen)",männlich,56-65,städtisch,Teilzeit,1-2,20,keine Social Media Nutzung
Participant-321,,männlich,56-65,ländlich,Vollzeit,1-2,44,andere Social Media
Participant-326,Auslieferung durch einen Menschen oder Abholung ,weiblich,56-65,städtisch,Teilzeit,1-2,46,Linkedin;andere Social Media
Participant-327,"Die menschliche Dienstleistung und pers. Kontakt bleiben erhalten, Arbeitsplätze gesichert.",weiblich,46-55,ländlich,Vollzeit,1-2,59,keine Social Media Nutzung
Participant-328,Da es hier wenigsten noch Arbeitsplätze gibt,weiblich,56-65,ländlich,,1-2,63,Facebook
Participant-330,Ist auf dem Land am praktischsten!,weiblich,26-35,ländlich,Teilzeit,3-4,51,Facebook;Instagram
Participant-331,Sachgerecht gute Optionen .,männlich,66+,städtisch,,1-2,45,keine Social Media Nutzung
Participant-337,,männlich,56-65,ländlich,Vollzeit,1-2,41,Facebook;Instagram;Linkedin
Participant-339,,weiblich,17-25,städtisch,Vollzeit,1-2,46,Facebook;Instagram;andere Social Media
Participant-345,,männlich,36-45,städtisch,Vollzeit,1-2,41,Facebook;Instagram;andere Social Media
Participant-347,Die Zustellung nach Hause ist für immobile Personen die beste Lösung.,weiblich,66+,städtisch,,1-2,52,keine Social Media Nutzung
Participant-349,"Umweltfreundlich, Arbeitsplätze bleiben erhalten,",weiblich,46-55,städtisch,Vollzeit,1-2,45,andere Social Media
Participant-350,"Da ich zu Hause beliefert werden möchte, ist das für mich die umweltfreundlichste Version",weiblich,66+,städtisch,,1-2,45,keine Social Media Nutzung
Participant-351,Weil es mir am sinnvollsten erscheint.,männlich,56-65,ländlich,Teilzeit,1-2,49,keine Social Media Nutzung
Participant-353,,männlich,56-65,städtisch,Vollzeit,1-2,46,keine Social Media Nutzung
Participant-355,,männlich,46-55,städtisch,Vollzeit,3-4,,keine Social Media Nutzung
Participant-356,Nicht jedes Produkt muss am nächsten Tag vorhanden sein. Vorausschauende Planung und Geduld kostet weniger als eine massive Strukturumstellung oder aufwändige Techniklösungen. High Tech ist auch nicht immer Umwelt schonend,männlich,46-55,ländlich,,3-4,47,andere Social Media
Participant-360,It reduces the number of cars driven in traffic.,männlich,26-35,städtisch,Vollzeit,1-2,28,Facebook;Instagram;Linkedin
